Field Name,Data Type,Position,Length,Target Name,Required,Format,Transformation,Valid Values,Description
LOCATION-CODE,String,1,6,location_code,Yes,,Default to '100030' FDR – Credit Card = 100010 Compass – Business Banking = 100020 Encore & ALS – Loans & Lines = 100030,100010|100020|100030|100040|100050|200000,The APPS Location that the account ; combined with the ACCT-NUM - this is the Ke
ACCT-NUM,String,7,18,acct_num,Yes,,ILMAST-KEY = BR + CUS + LN,,The identifier for the account (account number).
CREDIT-LIMIT-AMT,Numeric,25,13,credit_limit_amt,No,+9(12),IF ORG not null then ORG; ELSE Default to +000000000000 Truncate decimal places. Pad with zeros (0's) Eg. A) 20.51 becom,,The Credit Limit on the account.
EXPIRATION-DATE,Date,38,8,expiration_date,No,CCYYMMDD,IF PAST-DTE is not Null then PAST-DTE else Default to '00000000',,The date the account expires.
BALANCE-AMT,Numeric,46,19,balance_amt,No,+9(12)V9(6),IF LN-BAL not null then LN-BAL; ELSE Default to +000000000000000000 If LN-BAL is -ve then move the Absolute value;,,Total Balance of the account. Used throughout the system in displays and reports
OVERLIMIT-AMT,Numeric,65,19,overlimit_amt,No,+9(12)V9(6),Default to +000000000000000000,,Amount the account is over its limit. This amount is added to TOTAL-DELINQ-AMT f
DISPUTED-AMT,Numeric,84,19,disputed_amt,No,+9(12)V9(6),IF M-DISPUTE-AMT not null then M-DISPUTE-AMT; ELSE Default to +000000000000000000,,Amount that is in dispute. Must be less than the
TOTAL-DUE-AMT,Numeric,103,19,total_due_amt,No,+9(12)V9(6),IF DUE-PRIN not null then DUE-PRIN; ELSE Default to +000000000000000000,,The total amount that is due.
CURRENT-DUE-AMT,Numeric,122,19,current_due_amt,No,+9(12)V9(6),IF PAYMENT not null then PAYMENT; ELSE Default to +000000000000000000,,The current due amount.
COLL-ASGN-UD-1,String,141,12,coll_asgn_ud_1,No,,Leave Blank <spaces>,,First user-defined field used for Collector Assignment.
COLL-ASGN-UD-TYPE1,String,153,2,coll_asgn_ud_type1,No,,If M-CTP-REASON-CODE =’FRUU’ then pass ‘1’ else pass ‘0’,0|1,Not used in baseline processing; available as an element.
COLL-ASGN-UD-FMT-1,String,155,2,coll_asgn_ud_fmt_1,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
COLL-ASGN-UD-2,String,157,12,coll_asgn_ud_2,No,,Leave Blank <spaces>,,Second user-defined field used for Collector Assignment.
COLL-ASGN-UD-TYPE2,String,169,2,coll_asgn_ud_type2,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
COLL-ASGN-UD-FMT-2,String,171,2,coll_asgn_ud_fmt_2,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
TOTAL-DELINQ-AMT,Numeric,173,19,total_delinq_amt,No,+9(12)V9(6),TOTAL-DELINQ-AMT = Add below fields (Values and pass) M-AMT-PAST-DUE UNPAID-LCHRGS + UNPAID-OTH-CHRG + M-MISC-FEES-UNPD,,The total amount that is delinquent.
CYCLES-DELINQ-CNT,Numeric,192,2,cycles_delinq_cnt,No,9(2),IF NO-PMTS-PDUE not null then NO-PMTS-PDUE; ELSE Default to '00',,Number of cycles the account is delinquent.
DAYS-DELINQ-CNT,Numeric,194,5,days_delinq_cnt,No,9(5),IF M-DAYS-PAST-DUE not null then M-DAYS-PAST-DUE; ELSE Default to '00000',,The number of days the account is delinquent.
LAST-PAYMENT-AMT,Numeric,199,19,last_payment_amt,No,+9(12)V9(6),IF M-BBT-LST-PAYMNT-AMT not null then M-BBT-LST-PAYMNT-AMT; ELSE Default to +000000000000000000,,The amount of the last payment.
CHARGE-OFF-DATE,Date,218,8,charge_off_date,No,CCYYMMDD,Zeroes if note not charged-off; IF CHG-OFF-CD = '1' THEN M-DATE-PAID-OFF; ELSE '00000000',,The date that the account was charged off.
DLQ-DAYS-CHRG-OFF,Numeric,226,5,dlq_days_chrg_off,No,9(5),IF Charge-Off if CHG-OFF-CD = '1' THEN M-DAYS-PAST-DUE; ELSE Default to '00000',,Number of days the account was Delinquent when it was charged off.
LST-PART-COF-AMT,Numeric,231,19,lst_part_cof_amt,No,+9(12)V9(6),Default to '+000000000000000000',,Last Partial Charge-Off amount.
LST-PART-COF-DATE,Date,250,8,lst_part_cof_date,No,CCYYMMDD,Nullable --> '00000000',,Last Partial Charge-Off date.
TOT-PART-COF-AMT,Numeric,258,19,tot_part_cof_amt,No,+9(12)V9(6),Default to '+000000000000000000',,Total Partial Charge-Off amount.
BAL-PART-COF-AMT,Numeric,277,19,bal_part_cof_amt,No,+9(12)V9(6),Default to '+000000000000000000',,Balance Amount plus Total Partial Charge-Off Amount.
PART-COF-ACCT-NUM,String,296,30,part_cof_acct_num,No,,Leave Blank <spaces>,,The account number that is used to track the partial charge-off amount.
USER-DEFINED-7,String,326,12,user_defined_7,No,,IF M-DAYS-PAST-DUE not null then M-DAYS-PAST-DUE; ELSE Default to +000000000000000000,,User-defined value that will be recorded on the collection history entry saved o
UD-7-TYPE,String,338,2,ud_7_type,No,,Default to 'C' Default to 'I',I,
UD-7-FMT,String,340,2,ud_7_fmt,No,,Leave Blank <spaces>,,
ACCT-OPEN-DATE,Date,342,8,acct_open_date,No,CCYYMMDD,IF NOTE-DTE not null then NOTE-DTE; ELSE Default to '00000000',,The date the account was opened.
NEXT-DUE-DATE,Date,350,8,next_due_date,No,CCYYMMDD,IF DUE-DTE-I not null then DUE-DTE-I; ELSEIF DUE-DTE-P not null then DUE-DTE-P; ELSE Default to '00000000',,The date that the next payment is due on the account.
INTEREST-RATE,Numeric,358,6,interest_rate,No,9(3)V9(3),S9(2)V9(5) Comp-3 to be transformed to 9(3)V9(3).,,The Annual Percentage Rate (APR) on the account.
OTH-DELINQ-AMT,Numeric,364,19,oth_delinq_amt,No,+9(12)V9(6),UNPAID-LCHRGS + UNPAID-OTH-CHRG + M-MISC-FEES-UNPD,,Delinquent amount that is not principal or interest.
REPO-CHARGES,Numeric,383,19,repo_charges,No,+9(12)V9(6),Default to '+000000000000000000',,The amount of the charges for the repossession activities.
REPOSSESSION-DATE,Date,402,8,repossession_date,No,CCYYMMDD,IF M-REPO-DTE not null then M-REPO-DTE; ELSE Default to '00000000',,Date the collateral was repossessed.
MATURITY-DATE,Date,410,8,maturity_date,No,CCYYMMDD,IF M-FINAL-DATE not null then M-FINAL-DATE; ELSEIF MAT-DTE not null then MAT-DTE; ELSE Default to '00000000',,Due date of the final payment on the account.
PAYMENT-AMT,Numeric,418,19,payment_amt,No,+9(12)V9(6),IF PAYMENT not null then PAYMENT; ELSE Default to +000000000000000000,,The payment amount on the account.
PRINCIPAL-DELQ-AMT,Numeric,437,19,principal_delq_amt,No,+9(12)V9(6),Pass as is,,The amount of Principal that is delinquent.
INTEREST-DELQ-AMT,Numeric,456,19,interest_delq_amt,No,+9(12)V9(6),Pass as is,,The amount of Interest that is delinquent.
USER-DEF-SEARCH-1,String,475,10,user_def_search_1,No,,Batch Date Format - mm/dd/yyyy,,The first User Defined Search field used for Name Search.
UD-SEARCH-1-TYPE,String,485,2,ud_search_1_type,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
UD-SEARCH-1-FMT,String,487,2,ud_search_1_fmt,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
USER-DEF-SEARCH-2,String,489,10,user_def_search_2,No,,Pass Blank <spaces> IF ACCT-NUM not present in C360_Data_<yyyymmdd>.txt THEN Leave Blank ELSE N1099_C_TYPE_8085,,The second User Defined Search field used for Name Search.
UD-SEARCH-2-TYPE,String,499,2,ud_search_2_type,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
UD-SEARCH-2-FMT,String,501,2,ud_search_2_fmt,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
ACCT-NUM-SORT,String,503,7,acct_num_sort,No,,Leave Blank <spaces>,,"This field is used to contain up to 7 digits from the account number, e.g., the "
CYCLE-ID,Numeric,510,2,cycle_id,No,9(2),IF DUE-DTE-I not null then 'DD' from DUE-DTE-I; ELSEIF DUE-DTE-P not null then 'DD' from DUE-DTE-P; ELSE Default to '01',,The ID of the Cycle that the account is assigned to for billing purposes (usuall
UD-DATE-FIELD-1,Date,512,8,ud_date_field_1,No,CCYYMMDD,"IF M-ORG-PRIN-DUE-DTE is not Null, then M-ORG-PRIN-DUE-DTE, else Default to '00000000'.",,User defined date field.
LAST-BILLING-DATE,Date,520,8,last_billing_date,No,CCYYMMDD,IF M-CYCLE-BEG-DTE not null then (M-CYCLE-BEG-DTE - 1); ELSE Default to '00000000',,The date that the account was last billed.
AGED-HISTORY,String,528,12,aged_history,No,,Take first 12 bytes,,This represents the history of delinquency status for the past 12 months. For Re
CREDIT-LIMIT-DATE,Date,540,8,credit_limit_date,No,CCYYMMDD,IF M-BBT-MODIFY-DATE not null then M-BBT-MODIFY-DATE; ELSE Default to '00000000',,The date that the credit limit was established or updated.
INT-LATE-CHG-AMT,Numeric,548,19,int_late_chg_amt,No,+9(12)V9(6),INT-PAY + UNPAID-LCHRGS,,The amount of interest and late charges on the account.
DELINQ-AMT-AGE-1,Numeric,567,19,delinq_amt_age_1,No,+9(12)V9(6),Default to +000000000000000000,,Amount that is delinquent 30 days.
DELINQ-AMT-AGE-2,Numeric,586,19,delinq_amt_age_2,No,+9(12)V9(6),Default to '+000000000000000000',,Amount that is delinquent 60 days.
DELINQ-AMT-AGE-3,Numeric,605,19,delinq_amt_age_3,No,+9(12)V9(6),Default to '+000000000000000000',,Amount that is delinquent 90 days.
DELINQ-AMT-AGE-4,Numeric,624,19,delinq_amt_age_4,No,+9(12)V9(6),Default to '+000000000000000000',,Amount that is delinquent 120 days.
NUMBER-OF-CARDS,Numeric,643,2,number_of_cards,No,9(2),Default to '00',,Number of credit cards that are currently active on the account.
WARN-BULLETIN-DATE,Date,645,8,warn_bulletin_date,No,CCYYMMDD,Default to '00000000',,Date of the Warning Bulletin that the account is included.
WARN-BULLETIN-ZONE,String,653,4,warn_bulletin_zone,No,,Leave Blank <spaces>,,Zone of Warning Bulletin on which the account is included.
OTHER-ACCT-NUM,String,657,18,other_acct_num,No,,Leave Blank <spaces>,,Other Account Number associated with the Primary accountholder.
CREDIT-SCORE,String,675,5,credit_score,No,,"Format should be 00000 to 99999 So, if it's 0-4 digit no., pad 0's in front to make a 5 byte no.. Eg. 9 becomes 00009; 9",,The Credit Score derived during originations processing of the credit applicatio
BEHAVIOR-INDEX,String,680,4,behavior_index,No,,IF M-USER-IDX4 is not Null THEN M-USER-IDX4 ELSE PASS 'NA',,Behavior Index (score) for the accountholder.
LAST-PAYMENT-DATE,Date,684,8,last_payment_date,No,CCYYMMDD,IF M-BBT-LST-PAYMNT-DTE not null then M-BBT-LST-PAYMNT-DTE; ELSE Default to '00000000',,"Date of the last payment. For overdraft accounts, date of last deposit."
LAST-MONETARY-AMT,Numeric,692,19,last_monetary_amt,No,+9(12)V9(6),IF M-LAST-TRAN-AMT not null then M-LAST-TRAN-AMT; ELSE Default to '+000000000000000000',,Amount of the last monetary transaction.
LAST-MONETARY-DATE,Date,711,8,last_monetary_date,No,CCYYMMDD,IF DTE-LAST not null then DTE-LAST; ELSE Default to '00000000',,Date of the last monetary transaction.
LAST-MONETARY-TYPE,String,719,2,last_monetary_type,No,,Take first 2 bytes; trim rest of the data,,Transaction Type for the last monetary transaction.
CHARGE-OFF-AMT,Numeric,721,19,charge_off_amt,No,+9(12)V9(6),IF M-CHARGE-OFF-AMT not null then M-CHARGE-OFF-AMT; ELSE Default to '+000000000000000000',,Amount of principal charged-off.
SORT-VALUE-1,Numeric,740,12,sort_value_1,No,9(12),IF M-REWRITE-NO not null then M-REWRITE-NO; ELSE Default to '000000000000',,First User-defined field used for Work List Sort criteria.
SORT-VALUE-1-TYPE,String,752,2,sort_value_1_type,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
SORT-VALUE-1-FMT,String,754,2,sort_value_1_fmt,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
SORT-VALUE-2,String,756,12,sort_value_2,No,,IF M-OFFICER not null then M-OFFICER; ELSE Leave Blank <spaces> For MOE 5: Pass blank For MOE 7: The field is Chls offic,,Second User-defined field used for Work List Sort criteria.
SORT-VALUE-2-TYPE,String,768,2,sort_value_2_type,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
SORT-VALUE-2-FMT,String,770,2,sort_value_2_fmt,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
USER-DEFINED-1,String,772,17,user_defined_1,No,,Leave Blank <spaces>,,Free format user-defined area used for installation specific data.
UD-1-TYPE,String,789,2,ud_1_type,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
UD-1-FMT,String,791,2,ud_1_fmt,No,,"Format should be 00 to 99 So, if it's a single digit no., pad a 0 in front. Eg. 1 becomes 01; 9 becomes 09 If Null then ",,Not used in baseline processing; available as an element.
USER-DEFINED-2,String,793,30,user_defined_2,No,,Pass as is,,Free format user-defined area used for installation specific data.
UD-2-TYPE,String,823,2,ud_2_type,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
UD-2-FMT,String,825,2,ud_2_fmt,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
USER-DEFINED-3,String,827,14,user_defined_3,No,,Left Algined,,Free format user-defined area used for installation specific data.
UD-3-TYPE,String,841,2,ud_3_type,No,,"IF (M-ACH-CODE = '1', '2' or '3') THEN '1'; ELSE '2'",1|2,Not used in baseline processing; available as an element.
UD-3-FMT,String,843,2,ud_3_fmt,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
USER-DEFINED-4,String,845,79,user_defined_4,No,,IF CHRG not null then CHRG; ELSE Leave Blank <spaces>,,Free format user-defined area used for installation specific data.
UD-4-TYPE,String,924,2,ud_4_type,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
UD-4-FMT,String,926,2,ud_4_fmt,No,,If source is <blank> pass <blank> else Pass the last 2 bytes of the source. Eg. If M-PAYOFF-TRANS = '36CCOOT' Pass last ,,Not used in baseline processing; available as an element.
USER-DEFINED-5,String,928,79,user_defined_5,No,,Comupte If (Term - NO-PMTS-MD) > 0 pass (Term - NO-PMTS-MD) else pass blank,,Free format user-defined area used for installation specific data.
UD-5-TYPE,String,1007,2,ud_5_type,No,,Pass Blank <spaces> IF ACCT-NUM not present in C360_Data_<yyyymmdd>.txt THEN Leave Blank ELSE COURT_STATE_8970,,Not used in baseline processing; available as an element.
UD-5-FMT,String,1009,2,ud_5_fmt,No,,IF (LN-BAL > 0) THEN 1; ELSEIF (LN-BAL < 0) THEN 2; ELSE '0',0|1|2,Not used in baseline processing; available as an element.
USER-DEFINED-6,String,1011,12,user_defined_6,No,,"Hard-Code to ""DPD""",DPD,The label field for the User-Defined-7 field included on each collections entry.
UD-6-TYPE,String,1023,2,ud_6_type,No,,Left Aligned IF Acct-Num present in file 'SCAS_C360_accomodationsRiskScores_<yyyymmdd>.txt' THEN Risk-Score ELES Leave B,,Not used in baseline processing; available as an element.
UD-6-FMT,String,1025,2,ud_6_fmt,No,,Get 'Day of the Week' for Batch Date; Batch Date = (ie. If C360 batch is running Today morning then Batch Date = Yesterd,01|02|03|04|05|06|07,Not used in baseline processing; available as an element.
USER-DEFINED-8-1,String,1027,79,user_defined_8_1,No,,Leave Blank <spaces>,,Free format user-defined area used for installation specific data.
USER-DEFINED-8-2,String,1106,79,user_defined_8_2,No,,Pass Value,,Free format user-defined area used for installation specific data.
USER-DEFINED-8-3,String,1185,79,user_defined_8_3,No,,Leave Blank <spaces>,,Free format user-defined area used for installation specific data.
USER-DEFINED-8-4,String,1264,79,user_defined_8_4,No,,Leave Blank <spaces>,,Free format user-defined area used for installation specific data.
USER-DEFINED-8-5,String,1343,79,user_defined_8_5,No,,Pass Blank <spaces> IF ACCT-NUM not present in C360_Data_<yyyymmdd>.txt THEN Leave Blank ELSE INSTRUCTION-CODE-1-8086,,Free format user-defined area used for installation specific data.
UD-8-1-TYPE,String,1422,2,ud_8_1_type,No,,"Format should be 00 to 99 So, if it's a single digit no., pad a 0 in front. Eg. 1 becomes 01; 9 becomes 09 If Null then ",,Not used in baseline processing; available as an element.
UD-8-2-TYPE,String,1424,2,ud_8_2_type,No,,"Format should be 00 to 99 So, if it's a single digit no., pad a 0 in front. Eg. 1 becomes 01; 9 becomes 09 If Null then ",,Not used in baseline processing; available as an element.
UD-8-3-TYPE,String,1426,2,ud_8_3_type,No,,"IF NTD-10-29 > 99 THEN 99 ELSE NTD-10-29 Format should be 00 to 99 So, if it's a single digit no., pad a 0 in front. Eg.",,Not used in baseline processing; available as an element.
UD-8-4-TYPE,String,1428,2,ud_8_4_type,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
UD-8-5-TYPE,String,1430,2,ud_8_5_type,No,,Pass Blank <spaces>,,Not used in baseline processing; available as an element.
UD-8-1-FMT,String,1432,2,ud_8_1_fmt,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
UD-8-2-FMT,String,1434,2,ud_8_2_fmt,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
UD-8-3-FMT,String,1436,2,ud_8_3_fmt,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
UD-8-4-FMT,String,1438,2,ud_8_4_fmt,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
UD-8-5-FMT,String,1440,2,ud_8_5_fmt,No,,Leave Blank <spaces>,,Not used in baseline processing; available as an element.
PRINCIPAL-AMT,Numeric,1442,19,principal_amt,No,+9(12)V9(6),IF LN-BAL not null then LN-BAL; ELSE Default to +000000000000000000,,Principal amount owed on the account.
OTHER-AMT,Numeric,1461,19,other_amt,No,+9(12)V9(6),Default to '+000000000000000000',,Other amount owed on the account. Recovery Accounting populates with the sum of 
ORIG-BALANCE-AMT,Numeric,1480,19,orig_balance_amt,No,+9(12)V9(6),IF ORG not null then ORG; ELSE Default to +000000000000000000,,Original amount of the loan.
OFFICER-NUM,String,1499,9,officer_num,No,,IF M-BBT-SELL-OFFICER not null then M-BBT-SELL-OFFICER; ELSE Leave Blank <spaces>,,Financial institution officer ID or User ID that approved the loan/account. May 
BRANCH-NUM,String,1508,6,branch_num,No,,RPT-BR-NO,,Financial institution 'branch number' where the loan was processed.
ORIGINAL-TERM,String,1514,4,original_term,No,,Ensure that Length is not greater than 4 If greater than 4 then place '9999',,Original Term (months) for the loan.
ORIG-INTEREST-RATE,Numeric,1518,6,orig_interest_rate,No,9(3)V9(3),Multiply by 100; To be transformed to 9(3)V9(3) Eg. .1179 --> 011790 1.25319 --> 125319,,Original interest rate on the account.
DEALER-NUM,String,1524,7,dealer_num,No,,IF DLR-NUM not null then DLR-NUM; ELSE Leave Blank <spaces>,,"The identifier of the dealer that initiated origination of the loan, e.g., car d"
PAYMENT-FREQUENCY,String,1531,2,payment_frequency,No,,IF INT-SCH not null then INT-SCH; ELSEIF PRIN-SCH not null then PRIN-SCH; ELSE Leave Blank <spaces> Transformation: 0 - ,MO|QT|SA|AN|SI|UE|WK|BW|IO|BL|NA,Frequency of payment on the loan.
REFINANCE-DATE,Date,1533,8,refinance_date,No,CCYYMMDD,IF M-BBT-MODIFY-DATE not null then M-BBT-MODIFY-DATE; ELSE Default to '00000000',,Date the loan was refinanced.
DEPOSIT-IND,String,1541,1,deposit_ind,No,,Leave Blank <spaces>,,Used to indicate if there is a deposit on the account. This is usually applicabl
