Rule ID,Rule Name,Field,Rule Type,Severity,Enabled,Message,Expected / Values
R001,LOCATION-CODE required,LOCATION-CODE,not_empty,error,Yes,LOCATION-CODE must not be empty,
R002,LOCATION-CODE length check,LOCATION-CODE,exact_length,error,Yes,LOCATION-CODE must be exactly 6 characters,6
R003,LOCATION-CODE valid values,LOCATION-CODE,valid_values,error,Yes,LOCATION-CODE must be one of: 100010|100020|100030|100040|100050|200000,100010|100020|100030|100040|100050|200000
R004,ACCT-NUM required,ACCT-NUM,not_empty,error,Yes,ACCT-NUM must not be empty,
R005,ACCT-NUM length check,ACCT-NUM,exact_length,error,Yes,ACCT-NUM must be exactly 18 characters,18
R006,CREDIT-LIMIT-AMT numeric,CREDIT-LIMIT-AMT,numeric,error,Yes,CREDIT-LIMIT-AMT must be numeric,
R007,EXPIRATION-DATE date format,EXPIRATION-DATE,date_format,error,Yes,EXPIRATION-DATE must match CCYYMMDD,CCYYMMDD
R008,BALANCE-AMT numeric,BALANCE-AMT,numeric,error,Yes,BALANCE-AMT must be numeric,
R009,OVERLIMIT-AMT numeric,OVERLIMIT-AMT,numeric,error,Yes,OVERLIMIT-AMT must be numeric,
R010,DISPUTED-AMT numeric,DISPUTED-AMT,numeric,error,Yes,DISPUTED-AMT must be numeric,
R011,TOTAL-DUE-AMT numeric,TOTAL-DUE-AMT,numeric,error,Yes,TOTAL-DUE-AMT must be numeric,
R012,CURRENT-DUE-AMT numeric,CURRENT-DUE-AMT,numeric,error,Yes,CURRENT-DUE-AMT must be numeric,
R013,COLL-ASGN-UD-TYPE1 valid values,COLL-ASGN-UD-TYPE1,valid_values,error,Yes,COLL-ASGN-UD-TYPE1 must be one of: 0|1,0|1
R014,TOTAL-DELINQ-AMT numeric,TOTAL-DELINQ-AMT,numeric,error,Yes,TOTAL-DELINQ-AMT must be numeric,
R015,CYCLES-DELINQ-CNT numeric,CYCLES-DELINQ-CNT,numeric,error,Yes,CYCLES-DELINQ-CNT must be numeric,
R016,DAYS-DELINQ-CNT numeric,DAYS-DELINQ-CNT,numeric,error,Yes,DAYS-DELINQ-CNT must be numeric,
R017,LAST-PAYMENT-AMT numeric,LAST-PAYMENT-AMT,numeric,error,Yes,LAST-PAYMENT-AMT must be numeric,
