Field Name,Data Type,Position,Length,Target Name,Required,Format,Transformation,Valid Values,Description
BK-NUM-ERT,Numeric,1,5,bk_num_ert,Yes,9(5),Default to '00040' for Consumer Create Tranert records only for Accounts which were charged-off yesterday (chrgoff_dt = batch date). i.e. IF Charge-Off if CHG-OFF-CD = '1' and M-DATE-PAID-OFF = Batch Date,00040,"A number, defined on the Bank Control Operation tables, which identifies the ..."
APP-ERT,Numeric,6,3,app_ert,Yes,9(3),Default to '001',001,The application to which the account is to be associated.
LN-NUM-ERT,String,9,18,ln_num_ert,Yes,,LN-NUM-ERT = BK + BR + CUS + LN,,The account number that is associated with the account.
REF-NUM-ERT,String,27,3,ref_num_ert,No,,Leave Blank <spaces>,,The applicable reference number for the transaction.
FILLER,String,30,130,filler,No,,Leave Blank <spaces>,,Filler for account key
EFF-DAT-ERT,Date,160,10,eff_dat_ert,Yes,MM/DD/CCYY,,,The date the transaction was effective.
TRN-COD-ERT,Numeric,170,5,trn_cod_ert,Yes,9(5),Default to '32040',32040,The transaction code for the transaction.
BAT-ITM-NUM-ERT,Numeric,175,9,bat_itm_num_ert,Yes,9(9),if 1st account in batch then '1'; if 2nd account in batch then '2'; . . . if nth account in batch then 'n';,,The sequential number for this item within the batch.
INP-SRC-COD-ERT,Numeric,184,3,inp_src_cod_ert,No,9(3),Leave Blank <spaces>,,The source of the transaction.
TRN-CNT-ERT,Numeric,187,3,trn_cnt_ert,No,9(3),Leave Blank <spaces>,,The total number of transactions in the batch.
TRN-MOR-DTA-FLG-ERT,String,190,1,trn_mor_dta_flg_ert,No,,Leave Blank <spaces>,,Indicates if more data is available.
DAT-DLQ-STR-CBRS,Date,191,10,dat_dlq_str_cbrs,No,MM/DD/CCYY,If M-FIRST-DELQ-DT > current date then pass blank else pass as is.,,The date the account went delinquent leading to the charge-off.
M2F-CMT-COD-CBRS,String,201,2,m2f_cmt_cod_cbrs,No,,If M-TRW-COMMENTS = 'AW' or 'AU' then Pass M-TRW-COMMENTS else If last 2 bytes M-PAYOFF-TRANS = 'ST' pass 'AU' Else pass <blank>,AW|AU,Special comment codes for reporting the current account to the credit bureaus.
HGH-DAY-DLQ-CBRS,Numeric,203,5,hgh_day_dlq_cbrs,No,9(5),Leave Blank <spaces>,,The highest number of days delinquent.
M2F-CMP-CON-COD-CBRS,String,208,2,m2f_cmp_con_cod_cbrs,No,,Pass as is,,Indicates if currently the account is in compliance for specified reasons.
HGH-AMT-DLQ-CBRS,Numeric,210,22,hgh_amt_dlq_cbrs,No,-Z(12).9(2),,,The highest total dollar amount delinquent.
PRE-COF-L1-NUM-CBRS,String,232,30,pre_cof_l1_num_cbrs,No,,ILMAST-KEY = BK + BR + CUS + LN Note : If BK is not 3 digit make it 3 digit by padding zeros on the left. Eg. If BK is 1 then make it 001 and then concatenate with rest of the fields.,,The account number used to identify the account to the credit bureau when it ...
24-CYC-DLQ-01-CBRS,String,262,1,24_cyc_dlq_01_cbrs,No,,Default to 'D' <space>,D,The delinquency history profile for the current month.
24-CYC-DLQ-12-CBRS,String,263,1,24_cyc_dlq_12_cbrs,No,,Default to 'D' <space>,D,The delinquency history profile for 12 months ago.
24-CYC-DLQ-23-CBRS,String,264,1,24_cyc_dlq_23_cbrs,No,,Default to 'D' <space>,D,The delinquency history profile for 23 months ago.
24-CYC-DLQ-02-CBRS,String,265,1,24_cyc_dlq_02_cbrs,No,,Default to 'D' <space>,D,The delinquency history profile for 2 months ago.
24-CYC-DLQ-13-CBRS,String,266,1,24_cyc_dlq_13_cbrs,No,,Default to 'D' <space>,D,The delinquency history profile for 13 months ago.
24-CYC-DLQ-24-CBRS,String,267,1,24_cyc_dlq_24_cbrs,No,,Default to 'D' <space>,D,The delinquency history profile for 24 months ago.
24-CYC-DLQ-03-CBRS,String,268,1,24_cyc_dlq_03_cbrs,No,,Default to 'D' <space>,D,The delinquency history profile for 3 months ago.
24-CYC-DLQ-14-CBRS,String,269,1,24_cyc_dlq_14_cbrs,No,,Default to 'D' <space>,D,The delinquency history profile for 14 months ago.
24-CYC-DLQ-25-CBRS,String,270,1,24_cyc_dlq_25_cbrs,No,,Default to 'D' <space>,D,The delinquency history profile for 25 months ago.
24-CYC-DLQ-04-CBRS,String,271,1,24_cyc_dlq_04_cbrs,No,,Default to 'D' <space>,D,The delinquency history profile for 4 months ago.
24-CYC-DLQ-15-CBRS,String,272,1,24_cyc_dlq_15_cbrs,No,,Default to 'D' <space>,D,The delinquency history profile for 15 months ago.
24-CYC-DLQ-05-CBRS,String,273,1,24_cyc_dlq_05_cbrs,No,,Default to 'D' <space>,D,The delinquency history profile for 5 months ago.
24-CYC-DLQ-16-CBRS,String,274,1,24_cyc_dlq_16_cbrs,No,,Default to 'D' <space>,D,The delinquency history profile for 16 months ago.
24-CYC-DLQ-06-CBRS,String,275,1,24_cyc_dlq_06_cbrs,No,,Default to 'D' <space>,D,The delinquency history profile for 6 months ago.
24-CYC-DLQ-17-CBRS,String,276,1,24_cyc_dlq_17_cbrs,No,,Default to 'D' <space>,D,The delinquency history profile for 17 months ago.
24-CYC-DLQ-07-CBRS,String,277,1,24_cyc_dlq_07_cbrs,No,,Default to 'D' <space>,D,The delinquency history profile for 7 months ago.
