Field Name,Data Type,Position,Length,Target Name,Required,Format,Transformation,Valid Values,Description
BK-NUM-ERT,Numeric,1,5,bk_num_ert,Yes,9(5),Default to '00040' for Consumer Create Tranert records only for Accounts which were charged-off yesterday (chrgoff_dt = batch date). i.e. IF Charge-Off if CHG-OFF-CD = '1' and M-DATE-PAID-OFF = Batch Date,00040,"A number, defined on the Bank Control Operation tables, which identifies the ..."
APP-ERT,Numeric,6,3,app_ert,Yes,9(3),Default to '001',001,The application to which the account is to be associated.
LN-NUM-ERT,String,9,18,ln_num_ert,Yes,,LN-NUM-ERT = BR + CUS + LN,,The account number that is associated with the account.
REF-NUM-ERT,String,27,3,ref_num_ert,No,,Leave Blank <spaces>,,The applicable reference number for the transaction.
FILLER,String,30,130,filler,No,,Leave Blank <spaces>,,Filler for account key
EFF-DAT-ERT,Date,160,10,eff_dat_ert,Yes,MM/DD/CCYY,,,The date the transaction was effective.
TRN-COD-ERT,Numeric,170,5,trn_cod_ert,Yes,9(5),Default to '32025',32025,The transaction code for the transaction.
BAT-ITM-NUM-ERT,Numeric,175,9,bat_itm_num_ert,Yes,9(9),if 1st account in batch then '1'; if 2nd account in batch then '2'; . . . if nth account in batch then 'n';,,The sequential number for this item within the batch.
INP-SRC-COD-ERT,Numeric,184,3,inp_src_cod_ert,No,9(3),Leave Blank <spaces>,,The source of the transaction.
TRN-CNT-ERT,Numeric,187,3,trn_cnt_ert,No,9(3),Leave Blank <spaces>,,The total number of transactions in the batch.
TRN-MOR-DTA-FLG-ERT,String,190,1,trn_mor_dta_flg_ert,No,,Leave Blank <spaces>,,Indicates if more data is available.
STP-ACR-ATY-COD-COD,Numeric,191,1,stp_acr_aty_cod_cod,No,9(1),Leave Blank <spaces>,,Indicates if accruals have been stopped or monetary activity is to continue w...
DAT-PLC-IN-STP-COD,Date,192,10,dat_plc_in_stp_cod,No,MM/DD/CCYY,Leave Blank <spaces>,,The date the account was placed in stop accrual status prior to charge-off.
DAT-STP-ACR-RMD-COD,Date,202,10,dat_stp_acr_rmd_cod,No,MM/DD/CCYY,Leave Blank <spaces>,,The date the account was removed from a stop accrual status.
INT-ACR-WHI-STP-COD,Numeric,212,22,int_acr_whi_stp_cod,No,-Z(12).9(2),Leave Blank <spaces>,,The amount of interest accrued while the account’s stop accrual status is Mem...
LGL-STA-COD-COD,String,234,3,lgl_sta_cod_cod,No,,"If M-TRW-COMMENTS = 'AU' or last 2 bytes M-PAYOFF-TRANS = 'ST' pass 'STL' Else IF CHG-OFF-CD = 'R', 'P' or 'N' then 'RPO'; ELSEIF CHG-OFF-CD = 'B' or 'J' then 'B06'; ELSEIF CHG-OFF-CD = 'F' then 'FCL'; ELSEIF CHG-OFF-CD = 'X' then 'PRP'; ELSE Default to 'TBD' Leave Blank <spaces>",TBD|R|P|N|RPO|B|J|B06|F|FCL|X|PRP,Indicates the account’s legal status.
DAT-LAS-RPO-COD,Date,237,10,dat_las_rpo_cod,No,MM/DD/CCYY,"IF CHG-OFF-CD = 'R', 'P', 'X' or 'N' then [IF M-REPO-DTE is NOT NULL or NOT BLANK or NOT 0's THEN M-REPO-DTE; ELSE M-DATE-PAID-OFF] ELSE Leave Blank",R|P|X|N,The date of the last repossession/voluntary surrender on the account prior to...
RPO-COD-COD,Numeric,247,1,rpo_cod_cod,No,9(1),"IF CHG-OFF-CD = 'R', 'P', 'X' or 'N' then '1'; ELSE '0'",R|P|X|N|1|0,"Vehicle Collateral Status, related to repossession / voluntary surrender."
DUE-DAT-DAY-COD,Numeric,248,2,due_dat_day_cod,Yes,9(2),,,The cycle ID used to control processing in APPS Enterprise.
DAT-RMD-RPO-COD,Date,250,10,dat_rmd_rpo_cod,No,MM/DD/CCYY,Leave Blank <spaces>,,The date the account was removed from repossession/surrender status prior to ...
FCL-STA-IND-COD,String,260,1,fcl_sta_ind_cod,No,,Leave Blank <spaces>,,Real Estate Collateral Status
ORG-LVL-NUM-1-COD,Numeric,261,7,org_lvl_num_1_cod,No,9(7),Default to '0000001',0000001,Organization control level 1 for the bank that the account resides in.
ORG-LVL-NUM-2-COD,Numeric,268,7,org_lvl_num_2_cod,No,9(7),Default to '0000001',0000001,Organization control level 2 for the bank that the account resides in.
ORG-LVL-NUM-3-COD,Numeric,275,7,org_lvl_num_3_cod,No,9(7),Default to '0000040',0000040,Organization control level 3 for the bank that the account resides in.
