Field Name,Data Type,Position,Length,Target Name,Required,Format,Transformation,Valid Values,Description
BK-NUM-ERT,Numeric,1,5,bk_num_ert,Yes,9(5),,,"A number, defined on the Bank Control Operation tables, which identifies the ... [Valid Values column contains prose,..."
APP-ERT,Numeric,6,3,app_ert,Yes,9(3),,,"The application to which the account is to be associated. [Valid Values column contains prose, not a list: 'Applicati..."
LN-NUM-ERT,String,9,18,ln_num_ert,Yes,,,,The account number that is associated with the account.
REF-NUM-ERT,String,27,3,ref_num_ert,No,,,,The applicable reference number for the transaction.
FILLER,String,30,130,filler,No,,,,Filler for account key
EFF-DAT-ERT,Date,160,10,eff_dat_ert,Yes,MM/DD/CCYY,,,The date the transaction was effective.
TRN-COD-ERT,Numeric,170,5,trn_cod_ert,Yes,9(5),,32005,The transaction code for the transaction.
BAT-ITM-NUM-ERT,Numeric,175,9,bat_itm_num_ert,Yes,9(9),,,The sequential number for this item within the batch.
INP-SRC-COD-ERT,Numeric,184,3,inp_src_cod_ert,No,9(3),,,The source of the transaction.
TRN-CNT-ERT,Numeric,187,3,trn_cnt_ert,No,9(3),,,The total number of transactions in the batch.
TRN-MOR-DTA-FLG-ERT,String,190,1,trn_mor_dta_flg_ert,No,,,,Indicates if more data is available.
CIF-ACT-NUM-CUS,String,191,24,cif_act_num_cus,Yes,,,,Customer reference number pointing to the set of demographics data associated...
CIF-ACT-COD-CUS,String,215,1,cif_act_cod_cus,Yes,,,,"The relationship of the contact to the primary accountholder. [dropped 5 value(s) longer than length=1: Primary,Secon..."
CIF-CBR-RPT-IND-CUS,String,216,1,cif_cbr_rpt_ind_cus,No,,,Y|N,Indicates whether a credit bureau report interface extract record may be crea...
CIF-CSM-INF-IND-CUS,String,217,2,cif_csm_inf_ind_cus,No,,,,"Indicates the bankruptcy status of the contact as that status applies to the ... [Valid Values column contains prose,..."
DAT-BKY-REC-CUS,Date,219,10,dat_bky_rec_cus,No,MM/DD/CCYY,,,The date the Bankruptcy Status was recorded.
CIF-ACT-COD-DES-CUS,String,229,18,cif_act_cod_des_cus,No,,,,Description of the relationship of the contact to the primary accountholder.
CIF-REF-NUM-CUS,String,247,3,cif_ref_num_cus,Yes,,,,APPS Enterprise supplied reference number used to keep multiple instances of ...
LAS-CSM-INF-IND-CUS,String,250,2,las_csm_inf_ind_cus,No,,,,"Indicates the bankruptcy status last reported to the credit bureau for the co... [Valid Values column contains prose,..."
ECOA-CODE-CUS,String,252,1,ecoa_code_cus,No,,,1|2|3|4|5|6|7|T|W|X|Z,Indicates the current ECOA code for the contact as that status applies to the...
LAST-ECOA-CODE-CUS,String,253,1,last_ecoa_code_cus,No,,,1|2|3|4|5|6|7|T|W|X|Z,Indicates the previous ECOA code for the contact as that status applies to th...
LAST-BUREAU-RECORDED-DATE-CUS,Date,254,10,last_bureau_recorded_date_cus,No,MM/DD/CCYY,,,The date the account was last reported to the credit bureau.
FINAL-REPORT-INDICATOR-CUS,String,264,1,final_report_indicator_cus,No,,,Y|N,Indicates whether the final reporting to credit bureau has been completed for...
LAST-REPORTED-SEG-TYPE-CUS,String,265,2,last_reported_seg_type_cus,No,,,BA|J1,The bureau segment on which this contact was reported to credit bureau.
LAST-CHEX-RECORDED-DATE-CUS,Date,267,10,last_chex_recorded_date_cus,No,MM/DD/CCYY,,,The date the account was last reported to the ChexSystems.
ACTION-CODE,String,277,1,action_code,Yes,,,,The desired action for processing the Contact-Account transaction.
CONTACT-ID,String,278,24,contact_id,Yes,,,,Unique identifier for the Contact.
LOCATION-CODE,String,302,6,location_code,Yes,,,,The APPS Location for the Contact-Account relationship.
ACCT-NUM,String,308,18,acct_num,Yes,,,,The Account Number for the Contact-Account relationship.
NAME-RELATIONSHIP,String,326,1,name_relationship,Yes,,,,"The Name Relationship for the contact on the Account, e.g., Primary, Secondar... [dropped 7 value(s) longer than leng..."
LEAD-CONTACT-IND,Boolean,327,1,lead_contact_ind,Yes,,,0|1,Indicates that the relationship between the contact and the account is the Le...
RESPONSIBLE-PARTY,Boolean,328,1,responsible_party,Yes,,,0|1,Indicates that the contact is a responsible party on the account. This is use...
CAS-ADDRESS-IND,String,329,1,cas_address_ind,Yes,,,,Indicates that this is a Legal contact.
EXTERNAL-SYSTEM-ID,String,330,4,external_system_id,Yes,,,,The ID of the system providing the contact account information.
PREFERRED-CURRENCY,String,334,3,preferred_currency,Yes,,,,The preferred currency for the contact for the account.
