Rule ID,Rule Name,Field,Rule Type,Severity,Enabled,Message,Expected / Values
R001,BK-NUM-ERT required,BK-NUM-ERT,not_empty,error,Yes,BK-NUM-ERT must not be empty,
R002,BK-NUM-ERT numeric,BK-NUM-ERT,numeric,error,Yes,BK-NUM-ERT must be numeric,
R003,BK-NUM-ERT length check,BK-NUM-ERT,exact_length,error,Yes,BK-NUM-ERT must be exactly 5 characters,5
R004,BK-NUM-ERT valid values,BK-NUM-ERT,valid_values,error,Yes,BK-NUM-ERT must be one of: 00040,00040
R005,APP-ERT required,APP-ERT,not_empty,error,Yes,APP-ERT must not be empty,
R006,APP-ERT numeric,APP-ERT,numeric,error,Yes,APP-ERT must be numeric,
R007,APP-ERT length check,APP-ERT,exact_length,error,Yes,APP-ERT must be exactly 3 characters,3
R008,APP-ERT valid values,APP-ERT,valid_values,error,Yes,APP-ERT must be one of: 001,001
R009,LN-NUM-ERT required,LN-NUM-ERT,not_empty,error,Yes,LN-NUM-ERT must not be empty,
R010,LN-NUM-ERT length check,LN-NUM-ERT,length,error,Yes,LN-NUM-ERT payload length must be between 14 and 18 characters,14..18
R011,EFF-DAT-ERT required,EFF-DAT-ERT,not_empty,error,Yes,EFF-DAT-ERT must not be empty,
R012,EFF-DAT-ERT date format,EFF-DAT-ERT,date_format,error,Yes,EFF-DAT-ERT must be a valid date (MM/DD/CCYY),MM/DD/CCYY
R013,EFF-DAT-ERT length check,EFF-DAT-ERT,exact_length,error,Yes,EFF-DAT-ERT must be exactly 10 characters,10
R014,TRN-COD-ERT required,TRN-COD-ERT,not_empty,error,Yes,TRN-COD-ERT must not be empty,
R015,TRN-COD-ERT numeric,TRN-COD-ERT,numeric,error,Yes,TRN-COD-ERT must be numeric,
R016,TRN-COD-ERT length check,TRN-COD-ERT,exact_length,error,Yes,TRN-COD-ERT must be exactly 5 characters,5
R017,TRN-COD-ERT valid values,TRN-COD-ERT,valid_values,error,Yes,TRN-COD-ERT must be one of: 32010,32010
R018,BAT-ITM-NUM-ERT required,BAT-ITM-NUM-ERT,not_empty,error,Yes,BAT-ITM-NUM-ERT must not be empty,
R019,BAT-ITM-NUM-ERT numeric,BAT-ITM-NUM-ERT,numeric,error,Yes,BAT-ITM-NUM-ERT must be numeric,
R020,BAT-ITM-NUM-ERT length check,BAT-ITM-NUM-ERT,exact_length,error,Yes,BAT-ITM-NUM-ERT must be exactly 9 characters,9
R021,INP-SRC-COD-ERT numeric,INP-SRC-COD-ERT,numeric,error,Yes,INP-SRC-COD-ERT must be numeric,
R022,TRN-CNT-ERT numeric,TRN-CNT-ERT,numeric,error,Yes,TRN-CNT-ERT must be numeric,
R023,OGL-CONTRACT-DAT-ORI required,OGL-CONTRACT-DAT-ORI,not_empty,error,Yes,OGL-CONTRACT-DAT-ORI must not be empty,
R024,OGL-CONTRACT-DAT-ORI date format,OGL-CONTRACT-DAT-ORI,date_format,error,Yes,OGL-CONTRACT-DAT-ORI must be a valid date (MM/DD/CCYY),MM/DD/CCYY
R025,OGL-CONTRACT-DAT-ORI length check,OGL-CONTRACT-DAT-ORI,exact_length,error,Yes,OGL-CONTRACT-DAT-ORI must be exactly 10 characters,10
R026,OGL-TRM-ORI numeric,OGL-TRM-ORI,numeric,error,Yes,OGL-TRM-ORI must be numeric,
R027,OGL-MAT-DAT-ORI date format,OGL-MAT-DAT-ORI,date_format,error,Yes,OGL-MAT-DAT-ORI must be a valid date (MM/DD/CCYY),MM/DD/CCYY
R028,OGL-CONTRACT-AMT-ORI numeric,OGL-CONTRACT-AMT-ORI,numeric,error,Yes,OGL-CONTRACT-AMT-ORI must be numeric,
R029,OGL-PORTFOLIO-TYP-ORI required,OGL-PORTFOLIO-TYP-ORI,not_empty,error,Yes,OGL-PORTFOLIO-TYP-ORI must not be empty,
R030,OGL-PORTFOLIO-TYP-ORI length check,OGL-PORTFOLIO-TYP-ORI,length,error,Yes,OGL-PORTFOLIO-TYP-ORI payload length must be between 1 and 1 characters,1..1
R031,OGL-PORTFOLIO-TYP-ORI valid values,OGL-PORTFOLIO-TYP-ORI,valid_values,error,Yes,OGL-PORTFOLIO-TYP-ORI must be one of: C|I,C|I
R032,LN-TYP-ORI required,LN-TYP-ORI,not_empty,error,Yes,LN-TYP-ORI must not be empty,
