Field Name,Data Type,Position,Length,Target Name,Required,Format,Transformation,Valid Values,Description
BK-NUM-ERT,Numeric,1,5,bk_num_ert,Yes,9(5),Default to '00040' for Consumer a) Create Tranert records only for Accounts which were charged-off yesterday (chrgoff_dt = batch date). i.e. IF Charge-Off if CHG-OFF-CD = '1' and M-DATE-PAID-OFF = Batch Date b) This record type needs to be created from repo_fee_CDS_yyyymmdd.txt generated by java program; layout given in tab 'repo_fee_CDS_yyyymmdd layout'; if file not available then don't create this record-type c) 3 separate records with same Acct-Num to be created for the following: - Auction Fee (AUC) - Retrieving Agent's Fee (RPO) - Other Repo Fee (ORF),00040,"A number, defined on the Bank Control Operation tables, which identifies the ..."
APP-ERT,Numeric,6,3,app_ert,Yes,9(3),Default to '001',001,The application to which the account is to be associated.
LN-NUM-ERT,String,9,18,ln_num_ert,Yes,,LN-NUM-ERT = BR + CUS + LN,,The account number that is associated with the account.
REF-NUM-ERT,String,27,3,ref_num_ert,No,,Leave Blank <spaces>,,The applicable reference number for the transaction.
FILLER,String,30,130,filler,No,,Leave Blank <spaces>,,Filler for account key
EFF-DAT-ERT,Date,160,10,eff_dat_ert,Yes,MM/DD/CCYY,,,The date the transaction was effective.
TRN-COD-ERT,Numeric,170,5,trn_cod_ert,Yes,9(5),Default to '32075',32075,The transaction code for the transaction.
BAT-ITM-NUM-ERT,Numeric,175,9,bat_itm_num_ert,Yes,9(9),if 1st account in batch then '1'; if 2nd account in batch then '2'; . . . if nth account in batch then 'n';,,The sequential number for this item within the batch.
INP-SRC-COD-ERT,Numeric,184,3,inp_src_cod_ert,No,9(3),Leave Blank <spaces>,,The source of the transaction.
TRN-CNT-ERT,Numeric,187,3,trn_cnt_ert,No,9(3),Leave Blank <spaces>,,The total number of transactions in the batch.
TRN-MOR-DTA-FLG-ERT,String,190,1,trn_mor_dta_flg_ert,No,,Leave Blank <spaces>,,Indicates if more data is available.
RCF-REF-NUM-REC,String,191,3,rcf_ref_num_rec,Yes,,Define logic Default to GNR till logic is defined.,GNR,The reference number associated with the cost for the account.
RCF-FEE-DES-REC,String,194,30,rcf_fee_des_rec,No,,Leave Blank <spaces>,,A free form field for maintaining a generic description of the cost.
RCF-AMT-REC,Numeric,224,22,rcf_amt_rec,No,-Z(12).9(2),Leave Blank <spaces>,,The cost amount to be assessed.
RCF-PCT-REC,Numeric,246,7,rcf_pct_rec,No,.Z(6),Leave Blank <spaces>,,The percentage used when calculating a recovery cost amount.
RCF-ASE-COD-REC,Numeric,253,1,rcf_ase_cod_rec,No,9(1),Default to '0',0,Indicates how the recovery cost is to be assessed.
RCF-INT-IND-REC,Numeric,254,1,rcf_int_ind_rec,No,9(1),Default to '0',0,Indicates whether to include payments made against this cost as interest repo...
RCF-MAX-FEE-AMT-REC,Numeric,255,22,rcf_max_fee_amt_rec,No,-Z(12).9(2),Leave Blank <spaces>,,The total amount permitted to be assessed on an account associated with a spe...
RCF-DES-COD-REC,Numeric,277,3,rcf_des_cod_rec,No,9(3),Default to <spaces> Default to '003',003,A code summarizing the category with which the cost is associated. [dropped 1 value(s) longer than length=3: <spaces>]
RCF-MAX-FEE-LTD-REC,Numeric,280,22,rcf_max_fee_ltd_rec,No,-Z(12).9(2),Leave Blank <spaces>,,The recovery costs maximum amount life to date; used to validate the calculat...
RCF-FEE-WVE-IND-REC,String,302,1,rcf_fee_wve_ind_rec,No,,Leave Blank <spaces>,,Not used
RCF-OGL-AMT-REC,Numeric,303,22,rcf_ogl_amt_rec,No,-Z(12).9(2),Leave Blank <spaces>,,The original charge-off amount of the recovery cost.
EXP-PYF-IND-REC,String,325,1,exp_pyf_ind_rec,No,,Default to 'Y',Y,Indicates whether the amount due is included in the calculated payoff. If inc...
RCF-ICR-COD-REC,Numeric,326,1,rcf_icr_cod_rec,No,9(1),Default to '0',0,Indicates when a recovery cost is to be capitalized.
CST-DFC-IND-REC,String,327,1,cst_dfc_ind_rec,No,,Leave Blank <spaces>,,Not used
CMB-PMT-PTY-REC,Numeric,328,3,cmb_pmt_pty_rec,No,9(3),Leave Blank <spaces>,,Payment posting priority to negotiate relative payment allocation for costs w...
RCF-DUE-REC,Numeric,331,22,rcf_due_rec,No,-Z(12).9(2),For the account - From Loan master and Fee master pick the UNPAID-LCHRGS & FEE_CURR_BAL from batch_date -2 date. Eg. If tranert is generated for 24rth June(with batch date 23rd June) pick the above 2 values from 21st June batch date. UNPAID-LCHRGS + FEE_CURR_BAL(all fees that are generated for Keys in the FEE CODE KEY tab - These keys are in FEE_CODE_KEY column of Fee master) Pass the added value as below format Eg. 113.04 should be mapped to 113.04 113.4 should be mapped to 113.40,,The cost’s due amount.
FCL-CST-PD-YTD-REC,Numeric,353,22,fcl_cst_pd_ytd_rec,No,-Z(12).9(2),Leave Blank <spaces>,,The total foreclosure cost paid from the beginning of the current year to the...
RCF-CAP-LTD-REC,Numeric,375,22,rcf_cap_ltd_rec,No,-Z(12).9(2),Leave Blank <spaces>,,The amount capitalized for the recovery cost since charge-off.
RCF-ASE-MTD-REC,Numeric,397,22,rcf_ase_mtd_rec,No,-Z(12).9(2),Leave Blank <spaces>,,The amount assessed this month for the recovery cost since charge-off.
RCF-PD-MTD-REC,Numeric,419,22,rcf_pd_mtd_rec,No,-Z(12).9(2),Leave Blank <spaces>,,The amount recovered for the cost this month since charge-off.
RCF-ASE-YTD-REC,Numeric,441,22,rcf_ase_ytd_rec,No,-Z(12).9(2),Leave Blank <spaces>,,The amount assessed this year for the recovery cost since charge-off.
RCF-PD-YTD-REC,Numeric,463,22,rcf_pd_ytd_rec,No,-Z(12).9(2),Leave Blank <spaces>,,The amount recovered for the cost this year since charge-off.
RCF-ASE-LTD-REC,Numeric,485,22,rcf_ase_ltd_rec,No,-Z(12).9(2),Leave Blank <spaces>,,The amount assessed for the recovery cost since charge-off.
RCF-PD-LTD-REC,Numeric,507,22,rcf_pd_ltd_rec,No,-Z(12).9(2),Leave Blank <spaces>,,The amount recovered for the recovery cost since charge-off.
